,Model##Other##,Series##Other##,Description##Other##,Shipping Weight##Other##,Product Page URL##Other##,Product Documentation Link##Other##,Catalog Number##Other##,Ballast Type##Other##,Length##Length##Inches,Width##Length##Inches,Lamp##Other##,Lamp Quantity##Other##,Voltage##Other##,Supply Voltage##Electrical_Potential##Volts,Total Input Wattage##Electrical_Wattage##Watts,Efficiency##Other##,Wattage Comments##Other##,Apparent Load##Electrical_Apparent_Power##Volt_Amperes,Photometric Web File##Other##,Wattage##electrical_Wattage##Watts,Efficacy##ELECTRICAL_EFFICACY##LUMENS_PER_WATT
"16 5/8""-1 Lamp-175W-MH-120V",BOROSILICATE,WKP WAL-PAK,Wall Mount Luminaire,0,http://www.cooperindustries.com/content/public/en/lighting/products/outdoor_wall_mount_lighting/_182939.brands.lighting!streetworks!pathway.html,http://www.cooperindustries.com/content/dam/public/lighting/products/documents/streetworks/spec_sheets/wkp_wal_pak.pdf,,Ballast,16 5/8,10,MH,1,120,120,175,47.00%,175,175,WKP17MXXGL.ies,175,38
"16 5/8""-1 Lamp-175W-MH-277V",BOROSILICATE,WKP WAL-PAK,Wall Mount Luminaire,0,http://www.cooperindustries.com/content/public/en/lighting/products/outdoor_wall_mount_lighting/_182939.brands.lighting!streetworks!pathway.html,http://www.cooperindustries.com/content/dam/public/lighting/products/documents/streetworks/spec_sheets/wkp_wal_pak.pdf,,Ballast,16 5/8,10,MH,1,277,277,175,47.00%,175,175,WKP17MXXGL.ies,175,38
"16 5/8""-1 Lamp-250W-MH-120V",BOROSILICATE,WKP WAL-PAK,Wall Mount Luminaire,0,http://www.cooperindustries.com/content/public/en/lighting/products/outdoor_wall_mount_lighting/_182939.brands.lighting!streetworks!pathway.html,http://www.cooperindustries.com/content/dam/public/lighting/products/documents/streetworks/spec_sheets/wkp_wal_pak.pdf,,Ballast,16 5/8,10,MH,1,120,120,250,113.00%,250,250,WKP25MXXGL.ies,250,93
"16 5/8""-1 Lamp-250W-MH-277V",BOROSILICATE,WKP WAL-PAK,Wall Mount Luminaire,0,http://www.cooperindustries.com/content/public/en/lighting/products/outdoor_wall_mount_lighting/_182939.brands.lighting!streetworks!pathway.html,http://www.cooperindustries.com/content/dam/public/lighting/products/documents/streetworks/spec_sheets/wkp_wal_pak.pdf,,Ballast,16 5/8,10,MH,1,277,277,250,113.00%,250,250,WKP25MXXGL.ies,250,93
"16 5/8""-1 Lamp-400W-MH-120V",BOROSILICATE,WKP WAL-PAK,Wall Mount Luminaire,0,http://www.cooperindustries.com/content/public/en/lighting/products/outdoor_wall_mount_lighting/_182939.brands.lighting!streetworks!pathway.html,http://www.cooperindustries.com/content/dam/public/lighting/products/documents/streetworks/spec_sheets/wkp_wal_pak.pdf,,Ballast,16 5/8,10,MH,1,120,120,400,64.00%,400,400,WKP40MXXGL.ies,400,58
"16 5/8""-1 Lamp-400W-MH-277V",BOROSILICATE,WKP WAL-PAK,Wall Mount Luminaire,0,http://www.cooperindustries.com/content/public/en/lighting/products/outdoor_wall_mount_lighting/_182939.brands.lighting!streetworks!pathway.html,http://www.cooperindustries.com/content/dam/public/lighting/products/documents/streetworks/spec_sheets/wkp_wal_pak.pdf,,Ballast,16 5/8,10,MH,1,277,277,400,64.00%,400,400,WKP40MXXGL.ies,400,58
"16 5/8""-1 Lamp-39W-MP-120V",BOROSILICATE,WKP WAL-PAK,Wall Mount Luminaire,0,http://www.cooperindustries.com/content/public/en/lighting/products/outdoor_wall_mount_lighting/_182939.brands.lighting!streetworks!pathway.html,http://www.cooperindustries.com/content/dam/public/lighting/products/documents/streetworks/spec_sheets/wkp_wal_pak.pdf,,Ballast,16 5/8,10,MP,1,120,120,0,0.00%,39,0,generic.ies,0,0
"16 5/8""-1 Lamp-39W-MP-277V",BOROSILICATE,WKP WAL-PAK,Wall Mount Luminaire,0,http://www.cooperindustries.com/content/public/en/lighting/products/outdoor_wall_mount_lighting/_182939.brands.lighting!streetworks!pathway.html,http://www.cooperindustries.com/content/dam/public/lighting/products/documents/streetworks/spec_sheets/wkp_wal_pak.pdf,,Ballast,16 5/8,10,MP,1,277,277,0,0.00%,39,0,generic.ies,0,0
"16 5/8""-1 Lamp-50W-MP-120V",BOROSILICATE,WKP WAL-PAK,Wall Mount Luminaire,0,http://www.cooperindustries.com/content/public/en/lighting/products/outdoor_wall_mount_lighting/_182939.brands.lighting!streetworks!pathway.html,http://www.cooperindustries.com/content/dam/public/lighting/products/documents/streetworks/spec_sheets/wkp_wal_pak.pdf,,Ballast,16 5/8,10,MP,1,120,120,0,0.00%,50,0,generic.ies,0,0
"16 5/8""-1 Lamp-50W-MP-277V",BOROSILICATE,WKP WAL-PAK,Wall Mount Luminaire,0,http://www.cooperindustries.com/content/public/en/lighting/products/outdoor_wall_mount_lighting/_182939.brands.lighting!streetworks!pathway.html,http://www.cooperindustries.com/content/dam/public/lighting/products/documents/streetworks/spec_sheets/wkp_wal_pak.pdf,,Ballast,16 5/8,10,MP,1,277,277,0,0.00%,50,0,generic.ies,0,0
"16 5/8""-1 Lamp-70W-MP-120V",BOROSILICATE,WKP WAL-PAK,Wall Mount Luminaire,0,http://www.cooperindustries.com/content/public/en/lighting/products/outdoor_wall_mount_lighting/_182939.brands.lighting!streetworks!pathway.html,http://www.cooperindustries.com/content/dam/public/lighting/products/documents/streetworks/spec_sheets/wkp_wal_pak.pdf,,Ballast,16 5/8,10,MP,1,120,120,70,108.00%,70,70,WKP70PXXGL.ies,70,101
"16 5/8""-1 Lamp-70W-MP-277V",BOROSILICATE,WKP WAL-PAK,Wall Mount Luminaire,0,http://www.cooperindustries.com/content/public/en/lighting/products/outdoor_wall_mount_lighting/_182939.brands.lighting!streetworks!pathway.html,http://www.cooperindustries.com/content/dam/public/lighting/products/documents/streetworks/spec_sheets/wkp_wal_pak.pdf,,Ballast,16 5/8,10,MP,1,277,277,70,108.00%,70,70,WKP70PXXGL.ies,70,101
"16 5/8""-1 Lamp-100W-MP-120V",BOROSILICATE,WKP WAL-PAK,Wall Mount Luminaire,0,http://www.cooperindustries.com/content/public/en/lighting/products/outdoor_wall_mount_lighting/_182939.brands.lighting!streetworks!pathway.html,http://www.cooperindustries.com/content/dam/public/lighting/products/documents/streetworks/spec_sheets/wkp_wal_pak.pdf,,Ballast,16 5/8,10,MP,1,120,120,0,0.00%,100,0,generic.ies,0,0
"16 5/8""-1 Lamp-100W-MP-277V",BOROSILICATE,WKP WAL-PAK,Wall Mount Luminaire,0,http://www.cooperindustries.com/content/public/en/lighting/products/outdoor_wall_mount_lighting/_182939.brands.lighting!streetworks!pathway.html,http://www.cooperindustries.com/content/dam/public/lighting/products/documents/streetworks/spec_sheets/wkp_wal_pak.pdf,,Ballast,16 5/8,10,MP,1,277,277,0,0.00%,100,0,generic.ies,0,0
